bmi,sex,age,quantile,Belgium,Bulgaria,Czechia,Germany,Estonia,Ireland,Spain,France,Cyprus,Latvia,Luxembourg,Malta,Austria,Poland,Romania,Slovenia,Slovakia,Turkey
18.5-25,F,Y_GE75,TOTAL,44.6,43,29.7,39.4,35.4,35.4,33.6,48.7,40.7,31.4,38.4,38.6,42,35.5,58.4,38.4,30.4,46.3
18.5-25,M,TOTAL,QU1,52.3,44.8,34.4,38.1,53.7,35.8,34.7,:,43.8,55.5,44.1,28.4,45.5,46.1,42.8,25.9,42.2,51.4
18.5-25,M,TOTAL,QU2,49.3,41.2,27,31.6,50.5,38.1,35.4,:,35.8,41,35.1,26.4,41.3,34.7,39.9,34.8,37.4,45
18.5-25,M,TOTAL,QU3,40.3,39.7,27,36.9,44.7,39,32.6,:,37.3,44.3,33.7,29.7,39.8,34.2,44.5,31.5,39.5,45.4
18.5-25,M,TOTAL,QU4,39.7,40.3,30.6,37.4,42.1,34.6,38.3,:,39,39.6,37.9,31.4,42.7,35.8,43.1,27.1,41.9,45.7
18.5-25,M,TOTAL,QU5,44.8,39.7,46.4,41.8,41.4,31.1,39.6,:,39.8,37.2,40,29.1,45.1,36.1,40.0,33.1,39.1,41.4
18.5-25,M,TOTAL,TOTAL,44.5,41.1,33.9,39.1,44,35.4,36.8,47.8,38.3,42.9,37.7,29.3,42.8,35.8,41.9,32.9,40.4,46.2
18.5-25,M,TOTAL,UNK,46,44.2,31.7,44.6,46.1,35,40.1,47.8,29.6,:,37.5,30.0,:,33.9,46.7,37.8,44.2,49.3
18.5-25,M,Y18-44,QU1,57.7,55.2,:,52.5,71.9,36.3,48,:,57.9,60.8,51.5,47.1,60.4,53.4,51.2,26.1,60.9,56.7
18.5-25,M,Y18-44,QU2,59.1,46.2,47.1,39.1,63.1,47.5,45.3,:,41.2,53.5,47.6,32,54.6,45.9,48.4,50.1,48.3,52.5
18.5-25,M,Y18-44,QU3,52.4,42.4,37.8,47.5,54.5,54.1,38.7,:,47.5,54.6,43.9,33.3,51.4,42.6,50.8,38.1,51.1,53.9
18.5-25,M,Y18-44,QU4,52.5,47.1,40,43.4,51.5,42.8,46.9,:,47.9,45.4,43.3,41.6,52.3,45.4,52.3,36,49.6,52.7
18.5-25,M,Y18-44,QU5,52.9,49.8,54,51.5,47.4,43,48.8,:,51.9,46.8,52.6,37.1,56,44.8,:,40.9,48.1,49.1
18.5-25,M,Y18-44,TOTAL,55.3,48.6,44.1,49.6,50.7,46.1,45.9,60.2,47.3,52.2,47.8,37.8,54.5,44.7,49.9,42.1,50.5,53.3
18.5-25,M,Y18-44,UNK,59.2,51.1,39.3,56.6,52,46.4,49.6,60.2,33.4,:,48.4,40.5,:,42.8,51.1,47.5,53.5,54.1
18.5-25,M,Y45-54,QU1,42.0,50.4,:,37.6,54.2,:,30.9,:,:,59.7,38.4,19.1,30.6,43.3,33.5,25.3,38.6,40.2
18.5-25,M,Y45-54,QU2,50.9,41.0,:,34.7,43.8,45.4,27.4,:,32.1,40.7,26.1,21.1,30.3,28.2,27.1,8.5,28.4,31.7
18.5-25,M,Y45-54,QU3,44.2,36.4,22.3,28,45.6,31.3,24.8,:,30.2,31.3,20.8,28.0,27.4,26,33.1,20.7,27.1,29.4
18.5-25,M,Y45-54,QU4,29.5,30.4,6.7,33.1,35.6,27.6,26.4,:,34.7,27.6,34.3,24.3,34.8,22.9,:,14.5,30.6,27.7
18.5-25,M,Y45-54,QU5,36.8,22.5,36.6,36.4,27.2,14.9,30.2,:,25.2,:,18.9,25,32,25.6,:,21.7,26.2,27.2
18.5-25,M,Y45-54,TOTAL,38.7,31.2,26.7,33.4,34.8,28.4,28.4,37.9,30.6,33.9,25.6,24.9,31.6,26.4,30.7,20.5,29.3,31.3
18.5-25,M,Y45-54,UNK,41.7,32.5,26.0,32.6,30.9,27.4,32.1,37.9,:,:,17.5,27.0,:,23.4,40.6,28.6,31.1,:
18.5-25,M,Y55-64,QU1,55.0,36.8,:,:c,51.1,:,25.8,:,29.8,50.6,40.5,16.7,31.3,43.4,34.8,23.2,43.0,40.5
18.5-25,M,Y55-64,QU2,35.6,36.9,8.5,:c,39.9,13.8,24.5,:,25.8,34.5,28.7,20.0,32.4,23.6,24.5,31.1,26.3,28.7
18.5-25,M,Y55-64,QU3,30.4,27.3,14.3,23.8,35.5,14.5,26.5,:,21.7,31.5,25.6,22.2,23.8,26.1,35.4,:,20.6,27.3
18.5-25,M,Y55-64,QU4,31.2,30,13.2,26,29.5,17.8,16.6,:,12.8,25.4,31.9,25.0,25.3,22.1,:,:,19.8,42.1
18.5-25,M,Y55-64,QU5,24.5,26.4,34.2,30.3,31.3,:,22.9,:,26.7,:,24.3,11.1,33.5,23.2,:,26.7,17.3,28.3
18.5-25,M,Y55-64,TOTAL,29.4,30.8,18.3,26.4,35.2,20,23.9,35.4,23.4,32.8,29.7,17.8,29.5,26.3,31.3,26.9,23.1,33.5
18.5-25,M,Y55-64,UNK,25.7,:,9.9,28.8,38.4,22.7,28.2,35.4,:,:,28.0,18.2,:,26.3,45.0,22.8,21.6,:
18.5-25,M,Y65-74,QU1,45.9,34.5,:,31.3,43,:,21.7,:,33.9,:,34.2,23.5,31.4,39.5,36.5,:,31.1,41.7
18.5-25,M,Y65-74,QU2,39.2,38.7,:,24.7,37.9,17.0,19.2,:,30,24.8,27.2,21.1,22.9,25.7,29.4,29.4,30,34.5
18.5-25,M,Y65-74,QU3,27.9,50.6,20.8,29.3,41.8,17.9,19,:,17.8,31.1,19.8,16.7,28.7,24.5,:,:,24.8,23.6
18.5-25,M,Y65-74,QU4,29.1,37.5,:,33.2,22.8,25.4,33.8,:,14.9,:,22.0,:,26.5,26,:,:,:,27.1
18.5-25,M,Y65-74,QU5,40.6,19.3,:,30.6,31.5,29.3,37.7,:,26.9,:,30.3,:,29.1,20.1,:,:,:,18.2
18.5-25,M,Y65-74,TOTAL,36.8,36,20.4,29.4,36.8,21.2,24.1,32.9,28.1,28.2,25.9,20.7,27,24.8,34.7,23.2,28.4,31.5
18.5-25,M,Y65-74,UNK,44,:,:,30.4,35.3,20.2,28.7,32.9,:,:,:,22.9,:,17.1,32.3,24.8,:,:
18.5-25,M,Y_GE75,QU1,49.8,48.9,:,:c,45.1,:,29,:,46.4,:,44.0,:,36.3,38.2,44.4,:,24.6,50.6
